Ingredient,Quantity
Barbecued Chicken,477.6923076923077
Red Peppers,1592.3076923076933
Green Peppers,875.7692307692307
Tomatoes,6210.000000000015
Red Onions,9235.384615384633
Barbecue Sauce,159.2307692307692
Bacon,2229.230769230769
Pepperoni,3450.0000000000014
Italian Sausage,53.07692307692308
Chorizo Sausage,265.38461538461536
Brie Carre Cheese,159.23076923076923
Prosciutto,159.23076923076923
Caramelized Onions,
Pears,53.07692307692308
Thyme,26.53846153846154
Garlic,3184.6153846153925
?duja Salami,636.9230769230768
Pancetta,955.3846153846154
Friggitello Peppers,159.2307692307692
Chicken,7961.538461538466
Artichokes,1433.0769230769242
Spinach,3821.5384615384637
Jalapeno Peppers,477.6923076923078
Fontina Cheese,636.9230769230771
Gouda Cheese,318.4615384615384
Mushrooms,4458.461538461541
Asiago Cheese,955.3846153846156
Alfredo Sauce,238.84615384615384
Pesto Sauce,955.3846153846156
Mozzarella Cheese,1592.3076923076928
Provolone Cheese,159.23076923076923
Smoked Gouda Cheese,159.23076923076923
Romano Cheese,159.23076923076923
Blue Cheese,159.23076923076923
Ricotta Cheese,398.07692307692304
Gorgonzola Piccante Cheese,318.46153846153845
Parmigiano Reggiano Cheese,796.1538461538462
Green Olives,636.9230769230769
Feta Cheese,2229.23076923077
Sliced Ham,
Pineapple,955.3846153846152
Capocollo,6369.230769230772
Goat Cheese,1273.8461538461543
Oregano,159.2307692307692
Calabrese Salami,1592.3076923076922
Eggplant,636.9230769230768
Zucchini,636.9230769230771
Kalamata Olives,716.5384615384614
Sun-dried Tomatoes,318.46153846153857
Plum Tomatoes,636.9230769230768
Cilantro,318.46153846153857
Corn,2123.076923076924
Chipotle Sauce,636.9230769230771
Anchovies,451.1538461538461
Genoa Salami,955.3846153846154
Prosciutto di San Daniele,371.53846153846155
Arugula,159.2307692307692
Coarse Sicilian Salami,1273.8461538461536
Luganega Sausage,636.9230769230768
Onions,318.4615384615384
Soppressata Salami,1592.3076923076922
Peperoncini verdi,159.2307692307692
Thai Sweet Chilli Sauce,318.4615384615384
Beef Chuck Roast,3025.3846153846152
